latitud,longitud,tecnologia,mcc,operador,net,lac,cellid,cobertura,fecha,id
-17.393683,-66.152274,UMTS,736,Tigo,3,37800,7237000,1323,2019-06-04 12:51:06+00:00,151526
-17.382059,-66.168054,UMTS,736,Tigo,3,37800,7238172,1944,2019-05-17 09:57:54+00:00,151525
-17.388926,-66.155792,UMTS,736,Tigo,3,37800,7226998,1442,2019-05-31 18:04:20+00:00,151524
-17.391772,-66.156064,UMTS,736,Tigo,3,37800,7236963,4689,2019-05-16 12:43:27+00:00,151523
-17.391079,-66.149611,LTE,736,Tigo,3,47461,20534278,4051,2019-05-16 12:43:32+00:00,151522
-17.390262,-66.141083,UMTS,736,Tigo,3,37800,7237038,3247,2019-05-16 12:42:44+00:00,151521
-17.384431,-66.158833,LTE,736,Tigo,3,47461,20497158,6508,2019-08-05 23:23:06+00:00,151520
-17.387688,-66.164226,UMTS,736,Tigo,3,37800,7246963,6645,2019-05-15 11:34:10+00:00,151519
-17.387812,-66.163134,UMTS,736,Tigo,3,37800,7247963,6694,2019-05-25 14:48:30+00:00,151518
-17.376751,-66.163308,UMTS,736,Tigo,3,37803,7237063,4536,2019-06-07 22:56:26+00:00,151517
-17.387635,-66.163874,GSM,736,Tigo,3,27451,24103,3324,2019-05-13 13:31:19+00:00,151516
-17.393677,-66.171131,UMTS,736,Tigo,3,37800,7248001,5985,2019-05-13 08:40:56+00:00,151515
-17.39266,-66.157212,UMTS,736,Tigo,3,37800,7237963,1000,2019-05-11 12:04:53+00:00,151514
-17.393521,-66.161185,LTE,736,Tigo,3,47461,20480774,7343,2019-05-11 11:10:11+00:00,151513
-17.386509,-66.157604,LTE,736,Tigo,3,47461,20544006,6749,2019-06-04 11:41:21+00:00,151512
-17.391908,-66.173716,UMTS,736,Tigo,3,37800,7227168,1808,2019-05-30 18:04:13+00:00,151511
-17.387894,-66.171938,UMTS,736,Tigo,3,37800,7237168,1000,2019-05-09 17:15:48+00:00,151510
